id_centro,sexo,trimestre_nacimiento,anos_educ_infantil,isec,estudios_madre,repite_curso,expectativas_educ,mates_score
7,Chico,4 tr,4,-0.11676,"Estudios obligatorios (ESO,EGB)",No repite,Hasta terminar Bachillerato,522.784939
7,Chica,2 tr,4,-0.37264,"Estudios obligatorios (ESO,EGB)",No repite,Hasta terminar una carrera universitaria,595.7084848
7,Chico,4 tr,4,-0.17712,"Estudios obligatorios (ESO,EGB)",No repite,Hasta terminar Bachillerato,684.136265
7,Chico,4 tr,6,-1.18621,"Estudios obligatorios (ESO,EGB)",Repite,No lo he pensado todavia,574.901976
7,Chico,1 tr,4,-0.37127,"Estudios obligatorios (ESO,EGB)",Repite,No lo he pensado todavia,563.730328
7,Chico,2 tr,4,-1.21416,NA,No repite,Hasta terminar una carrera universitaria,547.3997066
7,Chico,1 tr,4,1.11227,Bachillerato,No repite,Hasta terminar una carrera universitaria,591.744341
7,Chico,1 tr,4,0.87562,NA,No repite,Hasta terminar una carrera universitaria,594.3208514
7,Chico,1 tr,4,0.77449,"Estudios obligatorios (ESO,EGB)",No repite,Hasta terminar una carrera universitaria,NA
7,Chico,4 tr,5,0.18728,NA,Repite,Hasta terminar los estudios obligatorios (ESO),517.4149182
7,Chico,3 tr,4,-1.06403,NA,No repite,No lo he pensado todavia,688.155442
7,Chica,1 tr,4,-0.06861,NA,No repite,NA,542.1099144
7,Chico,4 tr,5,0.28724,Tecnico FP grado medio,Repite,Hasta terminar una carrera universitaria,519.6849592
7,Chico,3 tr,4,0.38193,"Estudios obligatorios (ESO,EGB)",No repite,Hasta terminar una carrera universitaria,607.9193152
7,Chico,4 tr,4,1.46284,NA,No repite,Hasta terminar Bachillerato,552.309116
7,Chica,1 tr,4,1.81735,Universitarios superiores,No repite,Hasta terminar una carrera universitaria,453.5489518
7,Chico,2 tr,5,-1.18621,"Estudios obligatorios (ESO,EGB)",Repite,Hasta terminar un Ciclo Formativo de grado medio,554.9900504
7,Chico,4 tr,4,0.18728,NA,No repite,Hasta terminar una carrera universitaria,644.8311482
7,Chica,3 tr,4,-0.78357,"Estudios obligatorios (ESO,EGB)",No repite,Hasta terminar Bachillerato,464.51757840000005
