DB010,DB020,DB030,DB040,DB040_F,DB060,DB060_F,DB090,DB090_F,DB100,DB100_F
2019,ES,498,ES51,1,369,2,2182.35340,1,1,1
2019,ES,499,ES51,1,369,2,2680.00337,1,1,1
2019,ES,500,ES51,1,372,2,2134.90047,1,2,1
2019,ES,501,ES51,1,372,2,1836.24220,1,2,1
2019,ES,503,ES51,1,372,2,2657.20608,1,2,1
2019,ES,505,ES51,1,372,2,2276.44011,1,2,1
2019,ES,507,ES51,1,380,2,3548.47548,1,1,1
2019,ES,509,ES51,1,381,2,3458.17280,1,2,1
2019,ES,511,ES51,1,381,2,3373.89169,1,2,1
2019,ES,514,ES51,1,390,2,3771.76728,1,1,1
2019,ES,519,ES51,1,390,2,5978.75415,1,1,1
2019,ES,520,ES51,1,400,2,7656.79953,1,2,1
2019,ES,521,ES51,1,400,2,15056.11937,1,2,1
2019,ES,525,ES51,1,403,2,4252.25162,1,1,1
2019,ES,528,ES51,1,404,2,4052.05481,1,1,1
2019,ES,529,ES51,1,405,2,3861.26522,1,1,1
2019,ES,530,ES51,1,405,2,3409.23343,1,1,1
2019,ES,531,ES51,1,405,2,5087.03483,1,1,1
2019,ES,532,ES51,1,405,2,2501.57532,1,1,1
2019,ES,533,ES51,1,405,2,1325.27707,1,1,1
2019,ES,535,ES51,1,408,2,3136.58102,1,2,1
2019,ES,536,ES51,1,408,2,2888.54844,1,2,1
2019,ES,537,ES51,1,408,2,3428.54569,1,2,1
2019,ES,538,ES51,1,408,2,3704.12814,1,2,1
2019,ES,540,ES51,1,410,2,3186.34219,1,2,1
2019,ES,541,ES51,1,410,2,7121.40793,1,2,1
2019,ES,542,ES51,1,410,2,4479.60985,1,2,1
2019,ES,543,ES51,1,410,2,2890.73284,1,2,1
2019,ES,544,ES51,1,415,2,11880.53241,1,1,1
2019,ES,547,ES51,1,416,2,4760.04246,1,1,1
2019,ES,548,ES51,1,416,2,3136.58102,1,1,1
2019,ES,549,ES51,1,416,2,3974.16211,1,1,1
2019,ES,550,ES51,1,416,2,2795.10524,1,1,1
2019,ES,551,ES51,1,416,2,3136.58102,1,1,1
2019,ES,552,ES41,1,417,2,1080.35977,1,2,1
2019,ES,553,ES41,1,417,2,4073.72434,1,2,1
2019,ES,556,ES41,1,417,2,3132.29768,1,2,1
2019,ES,558,ES41,1,417,2,2410.56838,1,2,1
2019,ES,559,ES41,1,421,2,3263.64388,1,1,1
2019,ES,563,ES41,1,421,2,757.71791,1,1,1
2019,ES,565,ES43,1,437,2,620.79421,1,3,1
2019,ES,566,ES43,1,437,2,1183.27524,1,3,1
2019,ES,567,ES43,1,437,2,396.96171,1,3,1
2019,ES,568,ES43,1,437,2,294.48558,1,3,1
2019,ES,569,ES43,1,437,2,309.48563,1,3,1
2019,ES,571,ES43,1,437,2,719.83922,1,3,1
2019,ES,572,ES43,1,437,2,337.78318,1,3,1
2019,ES,573,ES43,1,437,2,856.39882,1,3,1
2019,ES,575,ES43,1,441,2,753.03302,1,1,1
2019,ES,576,ES43,1,441,2,1715.02697,1,1,1
2019,ES,577,ES43,1,441,2,573.00469,1,1,1
2019,ES,579,ES43,1,441,2,647.57411,1,1,1
2019,ES,580,ES43,1,441,2,1288.68892,1,1,1
2019,ES,581,ES43,1,443,2,511.12410,1,1,1
